ContractID,InsuredName,Producer,Underwriter,Branch,ExpiringContract,Status,InceptionDate,ExpirationDate,Perils,LOB,Form,Currency,UDF1,UDF2,UDF3,UDF4,UDF5,LayerID,LayerPerils,LimitType,Limit1,LimitA,LimitB,LimitC,LimitD,Limit2,DedAmt1,DedAmt2,DedAmt3,DedAmt4,AttachmentAmt,AttachmentPtA,AttachmentPtB,AttachmentPtC,AttachmentPtD,DedType,Premium,AggregateLimitType,AggregateLimit,AggregateAttachmentPt,AggregateDedType,AggregateDedAmt,SublimitPerils,SublimitArea,SubLimitLimitType,SublimitDedType,SubLimitOcc,SublimitPart,SublimitAttachAmt,SublimitLimitA,SublimitLimitB,SublimitLimitC,SublimitLimitD,SublimitAttachA,SublimitAttachB,SublimitAttachC,SublimitAttachD,SublimitDedAmt1,SublimitDedAmt2,SublimitDedAmt3,SublimitDedAmt4,SublimitName,ParentSublimitName,SublimitAggregateLimitType,SublimitAggregateLimit,SublimitAggregateAttachmentPt,SublimitAggregateDedType,SublimitAggregateDedAmt
920743,,,,,,A,2022-03-01,2023-03-01,11534403,GC2,Unknown,USD,,,,,,2002937,11534403,E,,,,,,,100000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WSUD3_500KDED,B,B,100000000,0,0,100000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
920743,,,,,,A,2022-03-01,2023-03-01,11534403,GC2,Unknown,USD,,,,,,2002937,11534403,E,,,,,,,100000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WSUD1_WSUD2_250KDED,B,B,100000000,0,0,100000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
920751,,,,,,A,2022-03-01,2023-03-01,11534403,GC2,Unknown,USD,,,,,,2002957,11534403,E,,,,,,,10000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WST1 WST2_100K DED,B,B,100000000,0,0,100000000,1,0,0,0,0,0,0,100000,0,0,0,,,N,0,0,N,0
920756,,,,,,A,2022-01-31,2023-01-31,11534403,GC2,Unknown,USD,,,,,,2002986,11534403,E,,,,,,,100000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WSUDF1 LIM 10M DED 500K,B,B,10000000,0,0,10000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
920756,,,,,,A,2022-01-31,2023-01-31,11534403,GC2,Unknown,USD,,,,,,2002986,11534403,E,,,,,,,100000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WSTIER 1 LIM 25M DED 500K,B,B,25000000,0,0,25000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
920801,,,,,,A,2022-04-01,2023-04-01,11534403,GC2,Unknown,USD,,,,,,2003162,11534403,E,,,,,,,100000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WSUD1_1M DED,B,B,75000000,0,0,75000000,1,0,0,0,0,0,0,1000000,0,0,0,,,N,0,0,N,0
920801,,,,,,A,2022-04-01,2023-04-01,11534403,GC2,Unknown,USD,,,,,,2003162,11534403,E,,,,,,,100000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WS_USER DEFINED 234_INCLUDED,B,B,75000000,0,0,75000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
920808,,,,,,A,2022-04-01,2023-04-01,11534403,GC2,Unknown,USD,,,,,,2003183,11534403,E,,,,,,,25000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WSUD_123_250K DED,B,B,25000000,0,0,25000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
920812,,,,,,A,2022-04-01,2023-04-01,11534403,GC2,Unknown,USD,,,,,,2003193,11534403,E,,,,,,,100000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WSUD1_WSUD2_250KDED,B,B,115000000,0,0,115000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
920812,,,,,,A,2022-04-01,2023-04-01,11534403,GC2,Unknown,USD,,,,,,2003194,11534403,E,,,,,,,100000,0,0,0,115000000,115000000,,,,MI,,N,0,0,N,0,11534403,WSUD1_WSUD2_250KDED,B,B,300000000,0,0,300000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
920814,,,,,,A,2022-03-15,2023-03-15,11534403,GC2,Unknown,USD,,,,,,2003208,11534403,E,,,,,,,2000000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,UD1 LIM 650M DED 25M,B,B,200000000,0,0,200000000,1,0,0,0,0,0,0,25000000,0,0,0,,,N,0,0,N,0
920814,,,,,,A,2022-03-15,2023-03-15,11534403,GC2,Unknown,USD,,,,,,2003209,11534403,E,,,,,,,2000000,0,0,0,250000000,250000000,,,,MI,,N,0,0,N,0,11534403,UD1 LIM 650M DED 25M,B,B,350000000,0,0,350000000,1,0,0,0,0,0,0,25000000,0,0,0,,,N,0,0,N,0
920814,,,,,,A,2022-03-15,2023-03-15,11534403,GC2,Unknown,USD,,,,,,2003210,11534403,E,,,,,,,2000000,0,0,0,350000000,350000000,,,,MI,,N,0,0,N,0,11534403,UD1 LIM 650M DED 25M,B,B,550000000,0,0,550000000,1,0,0,0,0,0,0,25000000,0,0,0,,,N,0,0,N,0
