SummaryId,EPCalc,EPType,ReturnPeriod,Loss
1,1,3,9.803922,291060.000000
1,1,3,9.708738,291060.000000
1,1,3,9.615385,291060.000000
1,1,3,9.523810,291060.000000
1,1,3,9.433962,291060.000000
1,1,3,9.345794,291060.000000
1,1,3,9.259259,291060.000000
1,1,3,9.174312,291060.000000
1,1,3,9.090909,226674.000000
1,1,3,9.009009,226674.000000
1,1,3,8.928571,226674.000000
1,1,3,8.849558,226674.000000
1,1,3,8.771930,151116.000000
1,1,3,8.695652,151116.000000
1,1,3,8.620690,151116.000000
1,1,3,8.547009,151116.000000
1,1,3,8.474576,151116.000000
1,1,3,8.403361,151116.000000
1,1,3,8.333333,151116.000000
1,1,3,8.264463,151116.000000
1,1,3,8.196721,151116.000000
1,1,3,8.130081,151116.000000
1,1,3,8.064516,151116.000000
1,1,3,8.000000,151116.000000
1,1,3,7.936508,151116.000000
1,1,3,7.874016,151116.000000
1,1,3,7.812500,151116.000000
1,1,3,7.751938,151116.000000
1,1,3,7.692308,151116.000000
1,1,3,7.633588,151116.000000
1,1,3,7.575758,151116.000000
1,1,3,7.518797,151116.000000
1,1,3,7.462687,151116.000000
1,1,3,7.407407,151116.000000
1,1,3,7.352941,151116.000000
1,1,3,7.299270,151116.000000
1,1,3,7.246377,151116.000000
1,1,3,7.194245,151116.000000
1,1,3,7.142857,151116.000000
1,1,3,7.092199,151116.000000
1,1,3,7.042254,151116.000000
1,1,3,6.993007,151116.000000
1,1,3,6.944444,151116.000000
1,1,3,6.896552,151116.000000
1,1,3,6.849315,151116.000000
1,1,3,6.802721,151116.000000
1,1,3,6.756757,151116.000000
1,1,3,6.711409,151116.000000
1,1,3,6.666667,151116.000000
1,1,3,6.622517,151116.000000
1,1,3,6.578947,151116.000000
1,1,3,6.535948,151116.000000
1,1,3,6.493506,151116.000000
1,1,3,6.451613,151116.000000
1,1,3,6.410256,151116.000000
1,1,3,6.369427,151116.000000
1,1,3,6.329114,151116.000000
1,1,3,6.289308,151116.000000
1,1,3,6.250000,151116.000000
1,1,3,6.211180,151116.000000
1,1,3,6.172840,151116.000000
1,1,3,6.134969,151116.000000
1,1,3,6.097561,151116.000000
1,1,3,6.060606,151116.000000
1,1,3,6.024096,151116.000000
1,1,3,5.988024,151116.000000
1,1,3,5.952381,151116.000000
1,1,3,5.917160,151116.000000
1,1,3,5.882353,151116.000000
1,1,3,5.847953,151116.000000
1,1,3,5.813953,151116.000000
1,1,3,5.780347,151116.000000
1,1,3,5.747126,151116.000000
1,1,3,5.714286,151116.000000
1,1,3,5.681818,151116.000000
1,1,3,5.649718,151116.000000
